@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {2befe3dcb10c2ad0,Others}

@data
1,0.016667,5,3.5,79,321,21.390661,1,2,2befe3dcb10c2ad0
1,0.014379,4,3.333333,78,208,46.191128,1,2,2befe3dcb10c2ad0
1,0.015686,4.4,3.6,91,153,8.307263,1,2,2befe3dcb10c2ad0
1,0.017157,4.75,4,120,147,43.58258,1,2,2befe3dcb10c2ad0
1,0.017647,4.666666,4.333334,111,139,45.81219,1,2,2befe3dcb10c2ad0
1,0.017647,5,4,87,0,2.879093,1,2,2befe3dcb10c2ad0
1,0.016993,5,3.666667,78,176,53.75181,1,2,2befe3dcb10c2ad0
1,0.016667,4.666666,3.833333,115,79,54.726322,1,2,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,102,230,24.399338,1,2,2befe3dcb10c2ad0
1,0.017647,4.8,4.2,101,469,5.303424,1,2,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,73,198,63.801388,1,2,2befe3dcb10c2ad0
1,0.017647,5,4,79,105,36.432682,1,2,2befe3dcb10c2ad0
1,0.016176,4.5,3.75,45,164,112.17117,1,2,2befe3dcb10c2ad0
1,0.018627,5,4.5,86,0,1.170283,1,1,2befe3dcb10c2ad0
1,0.016667,5,3.5,87,99,14.932421,1,1,2befe3dcb10c2ad0
1,0.015196,4.25,3.5,123,74,23.586668,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,111,108,16.675867,1,1,2befe3dcb10c2ad0
1,0.014379,4,3.333333,58,55,27.361044,1,1,2befe3dcb10c2ad0
1,0.015294,4.2,3.6,89,131,46.24302,1,1,2befe3dcb10c2ad0
1,0.013725,4,3,89,138,161.12717,1,1,2befe3dcb10c2ad0
1,0.016667,5,3.5,110,0,27.553013,1,1,2befe3dcb10c2ad0
1,0.017647,4.75,4.25,123,123,14.689569,1,1,2befe3dcb10c2ad0
1,0.016993,5,3.666667,78,22,75.2019,1,1,2befe3dcb10c2ad0
1,0.015686,4.666666,3.333333,113,94,6.57838,1,1,2befe3dcb10c2ad0
1,0.016471,5,3.4,127,246,42.2069,1,1,2befe3dcb10c2ad0
1,0.012418,3.666667,2.666667,98,30,56.573326,1,1,2befe3dcb10c2ad0
1,0.015686,4.2,3.8,130,101,64.70928,1,1,2befe3dcb10c2ad0
1,0.017647,4.666666,4.333334,100,20,82.56418,1,1,2befe3dcb10c2ad0
1,0.017647,4.5,4.5,98,91,128.83554,1,1,2befe3dcb10c2ad0
1,0.017647,5,4,103,0,43.218437,1,2,2befe3dcb10c2ad0
1,0.017974,4.833334,4.333334,105,100,67.0657,1,2,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,121,106,97.17349,1,2,2befe3dcb10c2ad0
1,0.017647,4.75,4.25,135,163,16.566494,1,2,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,90,443,29.837118,1,2,2befe3dcb10c2ad0
1,0.015686,4.333334,3.666667,71,129,37.03321,1,2,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,112,148,13.202867,1,2,2befe3dcb10c2ad0
1,0.014902,4,3.6,93,158,47.824825,1,2,2befe3dcb10c2ad0
1,0.017647,5,4,105,0,40.391624,1,2,2befe3dcb10c2ad0
1,0.01634,4.333334,4,73,63,99.87319,1,2,2befe3dcb10c2ad0
1,0.016667,4.5,4,112,117,122.8373,1,2,2befe3dcb10c2ad0
1,0.014216,4,3.25,59,72,119.086075,1,2,2befe3dcb10c2ad0
1,0.01451,4,3.4,104,284,91.44968,1,2,2befe3dcb10c2ad0
1,0.013725,4,3,104,33,39.084297,1,2,2befe3dcb10c2ad0
1,0.018431,5.2,4.2,101,185,8.574895,1,2,2befe3dcb10c2ad0
1,0.018301,5,4.333334,96,115,26.913267,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,96,0,7.766996,1,1,2befe3dcb10c2ad0
1,0.014118,3.8,3.4,97,140,20.31129,1,1,2befe3dcb10c2ad0
1,0.012745,3.5,3,106,106,2.100714,1,1,2befe3dcb10c2ad0
1,0.011765,3.333333,2.666667,78,155,77.73205,1,1,2befe3dcb10c2ad0
1,0.010294,2.75,2.5,94,17,46.49112,1,1,2befe3dcb10c2ad0
1,0.011765,3,3,54,95,37.856266,1,1,2befe3dcb10c2ad0
1,0.015294,4,3.8,74,127,48.129795,1,1,2befe3dcb10c2ad0
1,0.014706,4,3.5,105,159,6.026547,1,1,2befe3dcb10c2ad0
1,0.013072,4,2.666667,90,55,34.42275,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,80,0,22.822018,1,1,2befe3dcb10c2ad0
1,0.015686,4.25,3.75,87,319,4.012244,1,1,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,63,90,14.264942,1,1,2befe3dcb10c2ad0
1,0.014706,4.25,3.25,54,173,75.71958,1,1,2befe3dcb10c2ad0
1,0.017255,5,3.8,106,157,21.394428,1,1,2befe3dcb10c2ad0
1,0.015686,4.5,3.5,105,104,107.815186,1,1,2befe3dcb10c2ad0
1,0.013333,4,2.8,108,48,42.816418,1,1,2befe3dcb10c2ad0
1,0.016993,4.666666,4,106,0,33.13031,1,2,2befe3dcb10c2ad0
1,0.015686,4.4,3.6,81,88,3.940582,1,2,2befe3dcb10c2ad0
1,0.015686,4.75,3.25,96,164,7.097363,1,2,2befe3dcb10c2ad0
