@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.171429,0.076243,127.71429,91.71429,99,0,58.11512,1,1,fb58815420addb16
0.172549,0.077484,126,97,67,112,46.510536,1,1,fb58815420addb16
0.166387,0.082498,139.71428,97.71429,84,138,72.29111,1,1,fb58815420addb16
0.170308,0.068202,119.14286,77.14286,91,8,107.53369,1,1,fb58815420addb16
0.171765,0.075469,123.6,93.6,53,151,41.244892,1,1,fb58815420addb16
0.168627,0.042113,69.6,51.6,55,675,54.6369,1,1,fb58815420addb16
0.166387,0.038122,64.28571,45.42857,80,125,29.372528,1,1,fb58815420addb16
0.166449,0.047487,72.666664,64,117,62,58.50018,1,1,fb58815420addb16
0.167647,0.050817,85.5,60.75,119,52,36.944687,1,1,fb58815420addb16
0.161765,0.05655,102,60.75,108,215,90.97821,1,1,fb58815420addb16
0.169188,0.064628,110.57143,75.42857,74,503,36.220715,1,1,fb58815420addb16
0.163137,0.058791,100.8,68.4,73,106,27.334848,1,1,fb58815420addb16
0.169935,0.077832,136,88,61,185,158.66425,1,1,fb58815420addb16
0.168627,0.073712,121.71429,90.42857,141,158,35.913506,1,1,fb58815420addb16
0.164706,0.065149,112.5,75,100,16,82.798004,1,1,fb58815420addb16
0.161438,0.070883,124,80,75,81,23.495684,1,1,fb58815420addb16
0.176471,0.08724,146.76923,104.30769,123,123,47.648212,1,1,fb58815420addb16
0.169188,0.072967,125.14286,84.85714,90,139,142.24269,1,1,fb58815420addb16
0.171765,0.082557,136.8,100.8,69,0,7.981073,1,1,fb58815420addb16
0.16732,0.056289,93,69,72,157,28.920692,1,1,fb58815420addb16
0.175163,0.082349,145,92,63,131,26.787485,1,1,fb58815420addb16
0.168627,0.066018,124.666664,65.333336,115,448,18.62094,1,1,fb58815420addb16
0.160349,0.04795,84.666664,53.333332,106,463,9.49465,1,1,fb58815420addb16
0.166667,0.044302,78,49.5,92,78,4.389445,1,1,fb58815420addb16
0.17402,0.089646,147.75,110.25,107,444,8.255531,1,1,fb58815420addb16
0.178151,0.085774,138,108.85714,89,115,18.718372,1,1,fb58815420addb16
0.173203,0.066366,104,87,74,11,17.906637,1,1,fb58815420addb16
0.180952,0.069096,102.85714,96,80,236,12.383297,1,1,fb58815420addb16
0.173669,0.070585,109.71429,93.42857,85,50,18.106668,1,1,fb58815420addb16
0.175163,0.090341,149,111,60,42,89.603836,1,1,fb58815420addb16
0.177124,0.087908,143,110,65,123,56.13311,1,1,fb58815420addb16
0.176471,0.08905,159.42857,96.85714,95,0,60.55944,1,2,fb58815420addb16
0.162465,0.069691,118.28571,82.28571,91,156,32.947247,1,2,fb58815420addb16
0.169281,0.06845,123,74,71,92,53.272247,1,2,fb58815420addb16
0.171989,0.072074,122.57143,84.85714,70,488,21.07669,1,2,fb58815420addb16
0.169281,0.052814,85,67,73,208,20.433622,1,2,fb58815420addb16
0.164706,0.066415,109.71429,81.42857,88,1830,7.846095,1,2,fb58815420addb16
0.17451,0.076095,129,90,63,165,77.25948,1,2,fb58815420addb16
0.17098,0.07672,133.2,87.6,47,141,64.4782,1,2,fb58815420addb16
0.164146,0.059267,111.42857,59.142857,120,0,30.813467,1,1,fb58815420addb16
0.169412,0.050869,85.2,61.2,123,482,3.273467,1,1,fb58815420addb16
0.168627,0.063586,99,84,66,60,18.509296,1,1,fb58815420addb16
0.169608,0.076876,123.75,97.5,95,805,13.712044,1,1,fb58815420addb16
0.170588,0.080264,133,98,70,1348,0.618244,1,1,fb58815420addb16
0.173109,0.077733,129.42857,94.28571,81,149,107.83989,1,1,fb58815420addb16
0.179739,0.06845,103,94,64,149,25.752731,1,1,fb58815420addb16
0.170868,0.074159,119.14286,94.28571,81,106,71.02839,1,1,fb58815420addb16
0.169748,0.067904,121.71429,73.71429,81,802,36.333317,1,1,fb58815420addb16
0.171429,0.081902,137.14285,98.57143,90,157,52.533195,1,1,fb58815420addb16
0.167647,0.083131,134.25,105,99,113,2.213166,1,1,fb58815420addb16
0.177451,0.075834,121.5,96.75,89,13,31.989603,1,1,fb58815420addb16
0.165229,0.074357,116,98,181,0,56.965267,1,2,fb58815420addb16
0.169748,0.055396,82.28571,77.14286,96,618,15.686298,1,2,fb58815420addb16
0.171895,0.063586,113,70,73,132,36.340443,1,2,fb58815420addb16
0.163585,0.061352,103.71429,72.85714,78,1347,29.421013,1,2,fb58815420addb16
0.173109,0.062246,101.14286,78,80,201,26.993097,1,2,fb58815420addb16
0.164216,0.06124,101.25,75,89,200,31.922169,1,2,fb58815420addb16
0.167974,0.074357,121,93,64,106,29.285524,1,2,fb58815420addb16
0.170308,0.07535,128.57143,88.28571,100,0,4.312326,1,2,fb58815420addb16
0.160224,0.060756,109.71429,65.14286,91,190,8.462051,1,2,fb58815420addb16
0.162745,0.071716,117.6,88.8,128,729,11.352013,1,2,fb58815420addb16
0.163025,0.063437,112.28571,70.28571,89,193,24.350157,1,2,fb58815420addb16
0.163025,0.064628,109.71429,76.28571,91,732,13.188508,1,2,fb58815420addb16
0.170868,0.063735,115.71429,67.71429,73,293,9.53545,1,2,fb58815420addb16
0.168067,0.063139,98.57143,83.14286,74,113,53.516464,1,2,fb58815420addb16
0.170196,0.069632,117.6,82.8,126,95,21.56988,1,2,fb58815420addb16
0.170437,0.065911,109.38461,80.30769,180,0,41.69333,1,2,fb58815420addb16
0.170588,0.061762,113.25,64.5,86,1910,20.303955,1,2,fb58815420addb16
0.173039,0.081306,137.25,96.75,99,588,16.19526,1,2,fb58815420addb16
0.168627,0.070883,134.25,69.75,89,446,25.36321,1,2,fb58815420addb16
0.164706,0.058791,111.6,57.6,47,132,33.80014,1,2,fb58815420addb16
